"Day ","Items ","Note ","Amount "
"87","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","1400"
"87","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","1400"
"87","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","1400"
"87","Marketing Expense","Cash Payment - Marketing - New York - White Wine","1400"
"87","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","1500"
"87","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","1500"
"87","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","1500"
"87","Marketing Expense","Cash Payment - Marketing - Chicago - Sparkling Wine","1700"
"87","Marketing Expense","Cash Payment - Marketing - Chicago - Red Wine","1700"
"87","Marketing Expense","Cash Payment - Marketing - Chicago - White Wine","1700"
"87","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Sparkling Wine","1000"
"87","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Red Wine","1000"
"87","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - White Wine","1000"
"87","Salary Expense","Cash Payment - Salary Expense","32924"
"87","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12908","179"
"87","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12916","238"
"87","Shipping Expense","Cash Payment - Move Stock ID: 12639","24792"
"87","Shipping Expense","Cash Payment - Move Stock ID: 12806","65888"
"87","Rental Expense","Cash Payment - Rental - Los Angeles","540"
"87","Rental Expense","Cash Payment - Rental - Miami","1800"
"87","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","2002"
"87","Rental Expense","Cash Payment - Rental - New York","1340"
"87","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","918"
"87","Rental Expense","Cash Payment - Rental - Detroit","500"
"87","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1722"
"87","Rental Expense","Cash Payment - Rental - Chicago","740"
"87","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"86","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"86","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","1400"
"86","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","1400"
"86","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","1400"
"86","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","1400"
"86","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","1400"
"86","Marketing Expense","Cash Payment - Marketing - New York - White Wine","1400"
"86","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","1500"
"86","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","1500"
"86","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","1500"
"86","Marketing Expense","Cash Payment - Marketing - Chicago - Sparkling Wine","1600"
"86","Marketing Expense","Cash Payment - Marketing - Chicago - Red Wine","1600"
"86","Marketing Expense","Cash Payment - Marketing - Chicago - White Wine","1700"
"86","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Sparkling Wine","1000"
"86","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Red Wine","1000"
"86","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - White Wine","1000"
"86","Salary Expense","Cash Payment - Salary Expense","32924"
"86","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12752","17"
"86","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12769","192"
